sample_ID,t_temp,t_DO_p,t_DO,t_SpCond,t_TDS,t_SAL,t_pH,b_temp,b_DO_p,b_DO,b_SpCond,b_TDS,b_SAL,b_pH,s_temp,s_pH,b_CaCO3 ,t_CaCO3 ,b_Ammonia_N,t_Ammonia_N,b_Calcium,t_Calcium,b_Chloride,t_Chloride,b_Fluoride,t_Fluoride,b_Magnesium,t_Magnesium,b_Nitrate_Nitrite_N,t_Nitrate_Nitrite_N,b_Nitrogen_Total,t_Nitrogen_Total,b_Nitrogen_Total_Dissolved,t_Nitrogen_Total_Dissolved,b_Phosphorus_SRP,t_Phosphorus_SRP,b_Phosphorus_Total,t_Phosphorus_Total,b_Potassium,t_Potassium,b_Silica,t_Silica,b_Sodium,t_Sodium,b_Sulfate,t_Sulfate
TorontoHarbour_1372_1_InnerHarbourEast,16.7,90.4,8.77,323,0.21,0.15,8.08,16.4,91.6,8.95,330.8,0.22,0.16,8.05,14.3,7.24,92.4,91.2,0.06,0.055,35.7,35.2,30,28.1,0.11,0.11,9.12,9.07,0.277,0.264,0.256,0.229,0.276,0.234,0.0079,0.0079,0.0174,0.0209,1.77,1.75,0.91,0.79,18.2,17,24.2,24.1
TorontoHarbour_1372_2_InnerHarbourEast,16.7,90.4,8.77,323,0.21,0.15,8.08,16.4,91.6,8.95,330.8,0.22,0.16,8.05,14.3,7.24,92.4,91.2,0.06,0.055,35.7,35.2,30,28.1,0.11,0.11,9.12,9.07,0.277,0.264,0.256,0.229,0.276,0.234,0.0079,0.0079,0.0174,0.0209,1.77,1.75,0.91,0.79,18.2,17,24.2,24.1
TorontoHarbour_1372_3_InnerHarbourEast,16.7,90.4,8.77,323,0.21,0.15,8.08,16.4,91.6,8.95,330.8,0.22,0.16,8.05,14.3,7.24,92.4,91.2,0.06,0.055,35.7,35.2,30,28.1,0.11,0.11,9.12,9.07,0.277,0.264,0.256,0.229,0.276,0.234,0.0079,0.0079,0.0174,0.0209,1.77,1.75,0.91,0.79,18.2,17,24.2,24.1
TorontoHarbour_1375_1_KeatingChannel,16.8,91.8,8.89,324.17,0.21,0.16,8.1,16.3,90,8.8,418.6,0.27,0.2,7.95,15.4,6.98,97.7,91.4,0.113,0.052,39.4,35.4,49.5,28.3,0.11,0.11,9.04,9.1,0.451,0.261,0.258,0.242,0.352,0.25,0.0153,0.007,0.0405,0.0201,2.02,1.78,1.77,0.8,30.4,17.2,24.4,23.9
TorontoHarbour_1375_2_KeatingChannel,16.8,91.8,8.89,324.17,0.21,0.16,8.1,16.3,90,8.8,418.6,0.27,0.2,7.95,15.4,6.98,97.7,91.4,0.113,0.052,39.4,35.4,49.5,28.3,0.11,0.11,9.04,9.1,0.451,0.261,0.258,0.242,0.352,0.25,0.0153,0.007,0.0405,0.0201,2.02,1.78,1.77,0.8,30.4,17.2,24.4,23.9
TorontoHarbour_1375_3_KeatingChannel,16.8,91.8,8.89,324.17,0.21,0.16,8.1,16.3,90,8.8,418.6,0.27,0.2,7.95,15.4,6.98,97.7,91.4,0.113,0.052,39.4,35.4,49.5,28.3,0.11,0.11,9.04,9.1,0.451,0.261,0.258,0.242,0.352,0.25,0.0153,0.007,0.0405,0.0201,2.02,1.78,1.77,0.8,30.4,17.2,24.4,23.9
TorontoHarbour_1379A_1_KeatingChannel,15,80,8.06,622,0.4,0.3,7.71,15.2,86.9,8.73,299.5,0.2,0.14,7.76,14.8,6.98,112,104,0.364,0.222,47.3,42.7,90.9,67.3,0.12,0.12,9.04,9.04,0.844,0.622,0.455,0.329,0.723,0.521,0.022,0.0184,0.133,0.0756,2.56,2.26,3.72,2.58,55.9,41.5,25.8,25.1
TorontoHarbour_1379A_2_KeatingChannel,15,80,8.06,622,0.4,0.3,7.71,15.2,86.9,8.73,299.5,0.2,0.14,7.76,14.8,6.98,112,104,0.364,0.222,47.3,42.7,90.9,67.3,0.12,0.12,9.04,9.04,0.844,0.622,0.455,0.329,0.723,0.521,0.022,0.0184,0.133,0.0756,2.56,2.26,3.72,2.58,55.9,41.5,25.8,25.1
TorontoHarbour_1379A_3_KeatingChannel,15,80,8.06,622,0.4,0.3,7.71,15.2,86.9,8.73,299.5,0.2,0.14,7.76,14.8,6.98,112,104,0.364,0.222,47.3,42.7,90.9,67.3,0.12,0.12,9.04,9.04,0.844,0.622,0.455,0.329,0.723,0.521,0.022,0.0184,0.133,0.0756,2.56,2.26,3.72,2.58,55.9,41.5,25.8,25.1
TorontoHarbour_1380_1_InnerHarbourEast,16.8,91.6,8.88,321.7,0.21,0.15,8.11,16.4,87.7,8.58,360.2,0.23,0.17,7.98,15.8,7.17,93.4,91.4,0.083,0.054,36.9,35.3,37.8,28.1,0.11,0.11,8.95,9.11,0.351,0.259,0.244,0.265,0.276,0.241,0.016,0.0079,0.0269,0.017,1.87,1.77,1.36,0.79,23.1,17.2,23.8,24
TorontoHarbour_1380_2_InnerHarbourEast,16.8,91.6,8.88,321.7,0.21,0.15,8.11,16.4,87.7,8.58,360.2,0.23,0.17,7.98,15.8,7.17,93.4,91.4,0.083,0.054,36.9,35.3,37.8,28.1,0.11,0.11,8.95,9.11,0.351,0.259,0.244,0.265,0.276,0.241,0.016,0.0079,0.0269,0.017,1.87,1.77,1.36,0.79,23.1,17.2,23.8,24
TorontoHarbour_1380_3_InnerHarbourEast,16.8,91.6,8.88,321.7,0.21,0.15,8.11,16.4,87.7,8.58,360.2,0.23,0.17,7.98,15.8,7.17,93.4,91.4,0.083,0.054,36.9,35.3,37.8,28.1,0.11,0.11,8.95,9.11,0.351,0.259,0.244,0.265,0.276,0.241,0.016,0.0079,0.0269,0.017,1.87,1.77,1.36,0.79,23.1,17.2,23.8,24
TorontoHarbour_1381_1_ShipChannel,16.9,81.5,7.84,366.8,0.24,0.18,7.86,16.7,84.7,8.24,365.8,0.24,0.18,7.88,16.4,7.05,93.6,93.7,0.091,0.104,36.7,36.5,39.4,38.5,0.11,0.11,9,9.23,0.339,0.317,0.283,0.303,0.517,0.304,0.0168,0.0174,0.0263,0.0263,1.87,1.88,1.32,1.2,24,23.7,24.1,24.5
